Time,X Position,Y Position,X Error,Y Error
1744157815.6259606,395,320,75,80
1744157815.6572683,395,319,75,79
1744157815.6902587,395,319,75,79
1744157815.7255442,395,320,75,80
1744157815.75825,395,320,75,80
1744157815.7900198,395,320,75,80
1744157815.825917,395,320,75,80
1744157815.8572114,395,320,75,80
1744157815.890336,395,320,75,80
1744157815.9252827,395,319,75,79
1744157815.9581017,395,319,75,79
1744157815.9895408,395,319,75,79
1744157816.0259957,395,319,75,79
1744157816.0572944,395,319,75,79
1744157816.090188,395,319,75,79
1744157816.1252503,395,319,75,79
1744157816.1592755,395,319,75,79
1744157816.1893783,395,319,75,79
1744157816.2263994,395,319,75,79
1744157816.2578502,395,319,75,79
1744157816.2913635,395,318,75,78
1744157816.3255005,395,319,75,79
1744157816.3585436,395,319,75,79
1744157816.3903275,395,319,75,79
1744157816.4260523,395,319,75,79
1744157816.457382,395,319,75,79
1744157816.490222,395,320,75,80
1744157816.5252945,395,319,75,79
1744157816.5580072,395,319,75,79
1744157816.5894372,395,320,75,80
1744157816.6260417,395,320,75,80
1744157816.6583493,395,320,75,80
1744157816.6903675,395,320,75,80
1744157816.7259293,395,320,75,80
1744157816.7587423,395,320,75,80
1744157816.7901433,395,320,75,80
1744157816.826113,395,320,75,80
1744157816.8573928,395,320,75,80
1744157816.8914628,395,320,75,80
1744157816.9254282,395,320,75,80
1744157816.9581199,395,319,75,79
1744157816.9896336,395,319,75,79
1744157817.026069,395,320,75,80
1744157817.0574534,394,320,74,80
1744157817.0903122,394,320,74,80
1744157817.1254873,394,320,74,80
1744157817.1585202,393,320,73,80
1744157817.1901069,393,319,73,79
1744157817.2269623,393,319,73,79
1744157817.2585752,393,319,73,79
1744157817.291879,392,320,72,80
1744157817.3254285,392,320,72,80
1744157817.358126,393,320,73,80
1744157817.3896208,393,319,73,79
1744157817.426107,394,319,74,79
1744157817.4574215,394,320,74,80
1744157817.4902651,394,320,74,80
1744157817.525444,392,319,72,79
1744157817.558303,392,317,72,77
1744157817.5895395,392,317,72,77
1744157817.626214,393,317,73,77
1744157817.6583598,391,316,71,76
1744157817.690401,393,317,73,77
1744157817.7258177,392,317,72,77
1744157817.758485,392,318,72,78
1744157817.7901456,393,318,73,78
1744157817.8273454,393,318,73,78
1744157817.8574584,393,318,73,78
1744157817.8904204,393,318,73,78
1744157817.9255633,393,318,73,78
1744157817.958467,393,318,73,78
1744157817.9897742,393,318,73,78
1744157818.02632,393,318,73,78
1744157818.0575793,393,317,73,77
1744157818.0903304,393,317,73,77
1744157818.1267803,392,318,72,78
1744157818.1584709,391,317,71,77
1744157818.1898882,391,317,71,77
1744157818.227031,392,316,72,76
1744157818.2581942,392,315,72,75
1744157818.2910748,393,317,73,77
1744157818.3256938,392,316,72,76
1744157818.358234,392,317,72,77
1744157818.3902855,392,317,72,77
1744157818.4263403,392,317,72,77
1744157818.45757,392,317,72,77
1744157818.4903789,392,317,72,77
1744157818.5256233,392,317,72,77
1744157818.5583236,392,317,72,77
1744157818.5897138,392,317,72,77
1744157818.6275,392,316,72,76
1744157818.6584277,392,317,72,77
1744157818.690425,391,316,71,76
1744157818.726161,391,315,71,75
1744157818.7587535,390,314,70,74
1744157818.790272,389,312,69,72
1744157818.8264136,386,312,66,72
1744157818.8578,394,316,74,76
1744157818.8916695,394,315,74,75
1744157818.9256368,390,313,70,73
1744157818.9585586,390,314,70,74
1744157818.9898014,390,314,70,74
1744157819.0263698,390,315,70,75
1744157819.0576186,390,315,70,75
1744157819.090597,390,315,70,75
1744157819.1258364,390,315,70,75
1744157819.1583855,390,315,70,75
1744157819.1897204,390,314,70,74
1744157819.227258,389,314,69,74
1744157819.258058,389,314,69,74
1744157819.2912261,388,313,68,73
1744157819.3256936,387,311,67,71
1744157819.3584223,387,309,67,69
1744157819.3898358,386,309,66,69
1744157819.4264483,385,308,65,68
1744157819.457686,386,309,66,69
1744157819.4906206,386,309,66,69
1744157819.5258725,386,309,66,69
1744157819.558473,386,309,66,69
1744157819.5898683,385,309,65,69
1744157819.6276526,385,308,65,68
1744157819.657789,385,307,65,67
1744157819.690585,385,307,65,67
1744157819.726917,384,307,64,67
1744157819.7589922,384,306,64,66
1744157819.7903912,384,306,64,66
1744157819.8265433,383,305,63,65
1744157819.858146,382,304,62,64
1744157819.8911178,382,303,62,63
1744157819.9259145,381,302,61,62
1744157819.9585183,380,301,60,61
1744157819.9898922,379,299,59,59
1744157820.0265684,377,297,57,57
1744157820.0579097,374,295,54,55
1744157820.090563,373,292,53,52
1744157820.1258464,369,289,49,49
1744157820.1587605,365,285,45,45
1744157820.1910176,361,280,41,40
1744157820.2279613,357,275,37,35
1744157820.2582903,353,269,33,29
1744157820.2916844,348,264,28,24
1744157820.325945,344,260,24,20
1744157820.358558,339,255,19,15
1744157820.3899448,336,251,16,11
1744157820.4275346,334,248,14,8
1744157820.4578996,331,248,11,8
1744157820.8906524,335,248,15,8
1744157820.927549,335,248,15,8
1744157821.026694,334,248,14,8
1744157822.7262778,326,253,6,13
1744157822.7603736,332,248,12,8
1744157822.7906573,330,250,10,10
1744157822.8272586,334,246,14,6
1744157822.858647,327,250,7,10
1744157822.89182,333,248,13,8
1744157822.9262557,334,247,14,7
1744157822.9590151,332,248,12,8
1744157822.9903147,332,249,12,9
1744157823.0270054,332,249,12,9
1744157823.0582194,333,247,13,7
1744157823.0910168,333,248,13,8
1744157823.1229596,332,249,12,9
1744157823.159172,334,247,14,7
1744157823.1902723,334,247,14,7
1744157823.223922,334,247,14,7
1744157823.2586377,332,250,12,10
1744157823.2912986,334,247,14,7
1744157823.3234963,331,250,11,10
1744157823.3590226,332,249,12,9
1744157823.3904722,333,247,13,7
1744157823.4236836,332,248,12,8
1744157823.4583635,331,249,11,9
1744157823.4911127,334,247,14,7
1744157823.5229194,334,247,14,7
1744157823.5590527,332,249,12,9
1744157823.590352,333,248,13,8
1744157823.6235657,334,247,14,7
1744157823.6584032,332,249,12,9
1744157823.6915514,334,247,14,7
1744157823.7234766,334,247,14,7
1744157823.7594893,331,249,11,9
1744157823.791242,333,248,13,8
1744157823.824117,332,249,12,9
1744157823.8583775,332,248,12,8
1744157823.8912585,332,248,12,8
1744157823.9235198,332,247,12,7
1744157823.9600048,328,248,8,8
1744157823.9904299,330,247,10,7
1744157824.0236151,332,247,12,7
1744157824.0584643,330,248,10,8
1744157824.0915773,329,248,9,8
1744157824.1230729,331,246,11,6
1744157824.1599207,329,247,9,7
1744157824.1912243,330,245,10,5
1744157824.223644,331,247,11,7
1744157824.2585096,331,247,11,7
1744157824.2911823,331,248,11,8
1744157824.322922,329,247,9,7
1744157824.3592339,329,247,9,7
1744157824.3904624,329,246,9,6
1744157824.423587,332,247,12,7
1744157824.4593647,329,246,9,6
1744157824.4912164,331,246,11,6
1744157824.5225616,329,246,9,6
1744157824.559294,329,247,9,7
1744157824.5905178,332,248,12,8
1744157824.623653,332,248,12,8
1744157827.4597838,335,248,15,8
1744157827.4919796,335,247,15,7
1744157827.5234325,335,248,15,8
1744157827.5603037,335,246,15,6
1744157827.5918195,333,249,13,9
1744157827.7230783,335,247,15,7
1744157827.7599242,334,248,14,8
1744157827.7920394,333,248,13,8
1744157827.8590546,333,248,13,8
1744157827.9231565,335,247,15,7
1744157827.9603617,335,247,15,7
1744157828.691836,333,249,13,9
1744157828.8918574,335,246,15,6
